time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-11 00:00:00+00:00,557,75,1105,331
2023-02-12 00:00:00+00:00,278,47,1153,385
2023-02-13 00:00:00+00:00,525,77,1594,391
2023-02-14 00:00:00+00:00,243,61,1986,546
2023-02-15 00:00:00+00:00,636,97,1328,355
2023-02-16 00:00:00+00:00,272,53,1412,391
2023-02-17 00:00:00+00:00,515,85,973,327
2023-02-18 00:00:00+00:00,776,97,1222,286
2023-02-19 00:00:00+00:00,511,65,1309,337
2023-02-20 00:00:00+00:00,558,43,1348,340
2023-02-21 00:00:00+00:00,597,48,1701,447
2023-02-22 00:00:00+00:00,370,45,4425,1441
2023-02-23 00:00:00+00:00,559,52,2789,948
2023-02-24 00:00:00+00:00,255,44,3289,1302
