time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-20 00:00:00+00:00,558,43,1348,340
2023-02-21 00:00:00+00:00,597,48,1701,447
2023-02-22 00:00:00+00:00,370,45,4425,1441
2023-02-23 00:00:00+00:00,559,52,2789,948
2023-02-24 00:00:00+00:00,305,49,3481,1346
2023-02-25 00:00:00+00:00,416,50,2929,946
2023-02-26 00:00:00+00:00,419,46,3605,1254
2023-02-27 00:00:00+00:00,245,39,4365,1690
2023-02-28 00:00:00+00:00,448,52,3166,1180
2023-03-01 00:00:00+00:00,540,54,2729,835
2023-03-02 00:00:00+00:00,137,33,1706,550
2023-03-03 00:00:00+00:00,284,33,1679,467
2023-03-04 00:00:00+00:00,375,42,1531,376
2023-03-05 00:00:00+00:00,244,25,1396,421
