time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-16 00:00:00+00:00,272,53,1412,391
2023-02-17 00:00:00+00:00,515,85,973,327
2023-02-18 00:00:00+00:00,776,97,1222,286
2023-02-19 00:00:00+00:00,511,65,1309,337
2023-02-20 00:00:00+00:00,558,43,1348,340
2023-02-21 00:00:00+00:00,597,48,1701,447
2023-02-22 00:00:00+00:00,370,45,4425,1441
2023-02-23 00:00:00+00:00,559,52,2789,948
2023-02-24 00:00:00+00:00,305,49,3481,1346
2023-02-25 00:00:00+00:00,416,50,2929,946
2023-02-26 00:00:00+00:00,419,46,3605,1254
2023-02-27 00:00:00+00:00,245,39,4365,1690
2023-02-28 00:00:00+00:00,448,52,3166,1180
2023-03-01 00:00:00+00:00,442,45,2545,799
