time_iso8601,stars_cumulative
2022-07-07 00:00:00+00:00,1933
2022-07-08 00:00:00+00:00,1935
2022-07-09 00:00:00+00:00,1942
2022-07-10 00:00:00+00:00,1950
2022-07-11 00:00:00+00:00,1956
2022-07-12 00:00:00+00:00,1962
2022-07-13 00:00:00+00:00,1969
2022-07-14 00:00:00+00:00,1972
2022-07-15 00:00:00+00:00,1975
2022-07-16 00:00:00+00:00,1978
2022-07-17 00:00:00+00:00,1987
2022-07-18 00:00:00+00:00,2016
2022-07-19 00:00:00+00:00,2028
2022-07-20 00:00:00+00:00,2036
2022-07-21 00:00:00+00:00,2040
2022-07-22 00:00:00+00:00,2045
2022-07-23 00:00:00+00:00,2048
2022-07-24 00:00:00+00:00,2054
2022-07-25 00:00:00+00:00,2056
2022-07-26 00:00:00+00:00,2061
2022-07-27 00:00:00+00:00,2090
2022-07-28 00:00:00+00:00,2245
2022-07-29 00:00:00+00:00,2274
2022-07-30 00:00:00+00:00,2295
2022-07-31 00:00:00+00:00,2309
2022-08-01 00:00:00+00:00,2320
2022-08-02 00:00:00+00:00,2336
2022-08-03 00:00:00+00:00,2350
2022-08-04 00:00:00+00:00,2394
2022-08-05 00:00:00+00:00,2412
2022-08-06 00:00:00+00:00,2420
2022-08-07 00:00:00+00:00,2429
2022-08-08 00:00:00+00:00,2438
2022-08-09 00:00:00+00:00,2450
2022-08-10 00:00:00+00:00,2456
2022-08-11 00:00:00+00:00,2463
2022-08-12 00:00:00+00:00,2471
2022-08-13 00:00:00+00:00,2495
2022-08-14 00:00:00+00:00,2625
2022-08-15 00:00:00+00:00,2673
2022-08-16 00:00:00+00:00,2835
2022-08-17 00:00:00+00:00,2989
2022-08-18 00:00:00+00:00,3037
2022-08-19 00:00:00+00:00,3095
2022-08-20 00:00:00+00:00,3127
2022-08-21 00:00:00+00:00,3152
2022-08-22 00:00:00+00:00,3224
2022-08-23 00:00:00+00:00,3268
2022-08-24 00:00:00+00:00,3290
2022-08-25 00:00:00+00:00,3312
2022-08-26 00:00:00+00:00,3343
2022-08-27 00:00:00+00:00,3377
2022-08-28 00:00:00+00:00,3399
2022-08-29 00:00:00+00:00,3428
2022-08-30 00:00:00+00:00,3450
2022-08-31 00:00:00+00:00,3461
2022-09-01 00:00:00+00:00,3475
2022-09-02 00:00:00+00:00,3495
2022-09-03 00:00:00+00:00,3508
2022-09-04 00:00:00+00:00,3515
2022-09-05 00:00:00+00:00,3538
2022-09-06 00:00:00+00:00,3570
2022-09-07 00:00:00+00:00,3629
2022-09-08 00:00:00+00:00,3992
2022-09-09 00:00:00+00:00,4260
2022-09-10 00:00:00+00:00,4366
2022-09-11 00:00:00+00:00,4415
2022-09-12 00:00:00+00:00,4463
2022-09-13 00:00:00+00:00,4514
2022-09-14 00:00:00+00:00,4572
2022-09-15 00:00:00+00:00,4649
2022-09-16 00:00:00+00:00,4832
2022-09-17 00:00:00+00:00,4874
2022-09-18 00:00:00+00:00,4904
2022-09-19 00:00:00+00:00,4955
2022-09-20 00:00:00+00:00,4999
2022-09-21 00:00:00+00:00,5030
2022-09-22 00:00:00+00:00,5040
2022-09-23 00:00:00+00:00,5055
2022-09-24 00:00:00+00:00,5071
2022-09-25 00:00:00+00:00,5076
2022-09-26 00:00:00+00:00,5096
2022-09-27 00:00:00+00:00,5111
2022-09-28 00:00:00+00:00,5120
2022-09-29 00:00:00+00:00,5132
2022-09-30 00:00:00+00:00,5143
2022-10-01 00:00:00+00:00,5161
2022-10-02 00:00:00+00:00,5183
2022-10-03 00:00:00+00:00,5193
2022-10-04 00:00:00+00:00,5211
2022-10-05 00:00:00+00:00,5223
2022-10-06 00:00:00+00:00,5229
2022-10-07 00:00:00+00:00,5248
2022-10-08 00:00:00+00:00,5264
2022-10-09 00:00:00+00:00,5303
2022-10-10 00:00:00+00:00,5313
2022-10-11 00:00:00+00:00,5347
2022-10-12 00:00:00+00:00,5357
2022-10-13 00:00:00+00:00,5365
2022-10-14 00:00:00+00:00,5377
2022-10-15 00:00:00+00:00,5381
2022-10-16 00:00:00+00:00,5392
2022-10-17 00:00:00+00:00,5404
2022-10-18 00:00:00+00:00,5413
2022-10-19 00:00:00+00:00,5426
2022-10-20 00:00:00+00:00,5438
2022-10-21 00:00:00+00:00,5453
2022-10-22 00:00:00+00:00,5468
2022-10-23 00:00:00+00:00,5487
2022-10-24 00:00:00+00:00,5500
2022-10-25 00:00:00+00:00,5511
2022-10-26 00:00:00+00:00,5518
2022-10-27 00:00:00+00:00,5525
2022-10-28 00:00:00+00:00,5535
2022-10-29 00:00:00+00:00,5546
2022-10-30 00:00:00+00:00,5556
2022-10-31 00:00:00+00:00,5577
2022-11-01 00:00:00+00:00,5587
2022-11-02 00:00:00+00:00,5593
2022-11-03 00:00:00+00:00,5603
2022-11-04 00:00:00+00:00,5626
2022-11-05 00:00:00+00:00,5634
2022-11-06 00:00:00+00:00,5656
2022-11-07 00:00:00+00:00,5675
2022-11-08 00:00:00+00:00,5687
2022-11-09 00:00:00+00:00,5707
2022-11-10 00:00:00+00:00,5721
2022-11-11 00:00:00+00:00,5736
2022-11-12 00:00:00+00:00,5785
2022-11-13 00:00:00+00:00,5837
2022-11-14 00:00:00+00:00,5853
2022-11-15 00:00:00+00:00,5877
2022-11-16 00:00:00+00:00,5889
2022-11-17 00:00:00+00:00,5904
2022-11-18 00:00:00+00:00,5911
2022-11-19 00:00:00+00:00,5919
2022-11-20 00:00:00+00:00,5931
2022-11-21 00:00:00+00:00,5942
2022-11-22 00:00:00+00:00,5957
2022-11-23 00:00:00+00:00,5971
2022-11-24 00:00:00+00:00,5982
2022-11-25 00:00:00+00:00,5992
2022-11-26 00:00:00+00:00,5999
2022-11-27 00:00:00+00:00,6013
2022-11-28 00:00:00+00:00,6019
2022-11-29 00:00:00+00:00,6031
2022-11-30 00:00:00+00:00,6041
2022-12-01 00:00:00+00:00,6047
2022-12-02 00:00:00+00:00,6056
2022-12-03 00:00:00+00:00,6059
2022-12-04 00:00:00+00:00,6068
2022-12-05 00:00:00+00:00,6079
2022-12-06 00:00:00+00:00,6087
2022-12-07 00:00:00+00:00,6096
2022-12-08 00:00:00+00:00,6105
2022-12-09 00:00:00+00:00,6114
2022-12-10 00:00:00+00:00,6119
2022-12-11 00:00:00+00:00,6125
2022-12-12 00:00:00+00:00,6136
2022-12-13 00:00:00+00:00,6148
2022-12-14 00:00:00+00:00,6167
2022-12-15 00:00:00+00:00,6184
2022-12-16 00:00:00+00:00,6193
2022-12-17 00:00:00+00:00,6202
2022-12-18 00:00:00+00:00,6209
2022-12-19 00:00:00+00:00,6232
2022-12-20 00:00:00+00:00,6333
2022-12-21 00:00:00+00:00,6364
2022-12-22 00:00:00+00:00,6383
2022-12-23 00:00:00+00:00,6418
2022-12-24 00:00:00+00:00,6453
2022-12-25 00:00:00+00:00,6469
2022-12-26 00:00:00+00:00,6495
2022-12-27 00:00:00+00:00,6511
2022-12-28 00:00:00+00:00,6528
2022-12-29 00:00:00+00:00,6540
2022-12-30 00:00:00+00:00,6552
2022-12-31 00:00:00+00:00,6563
2023-01-01 00:00:00+00:00,6577
2023-01-02 00:00:00+00:00,6584
2023-01-03 00:00:00+00:00,6595
2023-01-04 00:00:00+00:00,6606
2023-01-05 00:00:00+00:00,6616
2023-01-06 00:00:00+00:00,6625
2023-01-07 00:00:00+00:00,6634
2023-01-08 00:00:00+00:00,6647
2023-01-09 00:00:00+00:00,6665
